network,station,location,channel,component,distance,azimuth,longitude,latitude
BK,QRDG,00,BH,ZRT,80.9880135412,335.285937,-122.14485,38.48086
BK,RUSS,00,BH,ZRT,81.1612474086,353.175086658,-121.86743,38.54465
BK,CVS,00,BH,ZRT,84.8819177851,313.732562888,-122.4584,38.34526
BK,OAKV,00,BH,ZRT,88.890705898,320.023487462,-122.41085,38.43057
BK,MCCM,00,BH,ZRT,105.120074048,290.484398005,-122.88018,38.14478
BK,FARB,00,BH,ZRT,110.464650863,263.405103543,-123.0011,37.69782
BK,WELL,00,BH,ZRT,113.713885237,52.4557091207,-120.7241,38.43847
BK,SAO,00,BH,ZRT,120.226115462,166.707506239,-121.44722,36.76403
BK,CMB,00,BH,ZRT,122.833624564,78.3320580251,-120.38651,38.03455
BK,MNRC,00,BH,ZRT,132.06461481,333.208615631,-122.44277,38.87874
BK,SCZ,00,BH,ZRT,139.067516295,166.840848676,-121.403,36.598
BK,BUCR,00,BH,ZRT,142.564343794,96.0073131633,-120.1496,37.6733
